						VID	VID
Company Name					Decimal	Hex
-------------------------------------------------------------
2 MICRO, INC.					4631	1217
3COM CORPORATION				4279	10B7
3DFX INTERACTIVE, INC.				4634	121A
3DLABS						15677	3D3D
A-TREND TECHNOLOGY				4474	117A
ACC MICROELECTRONICS				4266	10AA
ACCELGRAPHICS INC.				4160	1040
ACER INCORPORATED				4133	1025
ACER LABS					4281	10B9
ACTEL						4522	11AA
ADAPTEC						36868	9004
ADAPTIVE SOLUTIONS				4619	120B
ADOBE SYSTEMS, INC				4467	1173
ADVANCED INTEGRATION RES.			4213	1075
ADVANCED LOGIC RESEARCH				4284	10BC
ADVANCED MICRO DEVICES				4130	1022
ADVANCED PERIPHERALS LABS			4312	10D8
ADVANCED PERIPHERALS TECH			4452	1164
ADVANCED SYSTEM PRODUCTS, INC			4301	10CD
ADVANCED TECHNOLOGY LABORATORIES		4487	1187
ADVANCED TELECOMMUNICATIONS MODULES		4635	121B
ALACRON						4246	1096
ALARIS, INC.					4339	10F3
ALCATEL CIT					4196	1064
ALFA, INC.					4472	1178
ALLIANCE SEMICONDUCTOR CORPORATION		4418	1142
ALPS ELECTRIC CO. LTD.				4329	10E9
ALTERA CORPORATION				4466	1172
ALTOS INDIA LTD					4344	10F8
AMDAHL CORPORATION				4614	1206
AMERICAN MEGATRENDS				4126	101E
AMP, INC					4152	1038
ANALOG DEVICES					4564	11D4
ANCOR COMMUNICATIONS, INC.			4642	1222
ANIGMA, INC.					4177	1051
ANNABOOKS					4428	114C
APPLE COMPUTER INC.				4203	106B
APPLIED INTELLIGENT SYSTEMS, INC.		4627	1213
APPLIED MICRO CIRCUITS CORPORATION		4328	10E8
APRICOT COMPUTERS				4529	11B1
APTIX CORPORATION				4322	10E2
ARCUS TECHNOLOGY, INC.				4639	121F
ARIEL CORPORATION				4640	1220
ARK LOGIC INC					60888	EDD8
ARRAY CORPORATION				4613	1205
ARTISTS GRAPHICS				4331	10EB
ARTOP ELECTRONIC CORP				4497	1191
ASCII CORPORATION				4333	10ED
AST RESEARCH INC				4109	100D
ASTRODESIGN,  INC.				4543	11BF
ASUSTEK COMPUTER, INC.				4163	1043
AT&T MICROELECTRONICS				4545	11C1
ATI TECHNOLOGIES INC				4098	1002
ATMEL CORPORATION				4372	1114
ATTO TECHNOLOGY					4476	117D
AURAVISION					4561	11D1
AUSPEX SYSTEMS INC.				4290	10C2
AVANCE LOGIC  INC				16389	4005
AVID TECHNOLOGY INC				4527	11AF
AVSYS CORPORATION				4439	1157
AWARD SOFTWARE					4292	10C4
AZTECH SYSTEM LTD				4526	11AE
